T,DHT22,25.5,2017-12-19T14:07:18Z
T,DHT22,25.5,2017-12-19T14:07:25Z
T,DHT22,25.6,2017-12-19T14:07:32Z
T,DHT22,25.6,2017-12-19T14:07:38Z
T,DHT22,25.6,2017-12-19T14:07:45Z
T,DHT22,25.6,2017-12-19T14:07:52Z
T,DHT22,25.6,2017-12-19T14:07:59Z
T,DHT22,25.5,2017-12-19T14:08:06Z
T,DHT22,25.5,2017-12-19T14:08:12Z
T,DHT22,25.5,2017-12-19T14:08:19Z
T,DHT22,25.5,2017-12-19T14:08:26Z
T,DHT22,25.5,2017-12-19T14:08:33Z
T,DHT22,25.5,2017-12-19T14:08:39Z
T,DHT22,25.5,2017-12-19T14:08:46Z
T,DHT22,25.5,2017-12-19T14:08:53Z
T,DHT22,25.5,2017-12-19T14:09:00Z
T,DHT22,25.6,2017-12-19T14:09:06Z
T,DHT22,25.5,2017-12-19T14:09:13Z
T,DHT22,25.5,2017-12-19T14:09:20Z
T,DHT22,25.5,2017-12-19T14:09:27Z
